date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/1/1,,1074.43,,,,4471.7875,0.34,,,,,,55163.28851,19264939,143210,,4.8,6012,,,,100.0642,-0.33135,,
2016/1/2,,1074.43,,,,4471.7875,0.34,,,,,,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,,100.0642,-0.33135,0.79,
2016/1/3,,1074.43,,,,4471.7875,0.34,,,,,,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,,100.0642,-0.33135,0.79,
2016/1/4,114.1595,1074.43,2012.66,4903.09,36.81,4471.7875,0.34,2.24,1.22,20.7,,199.67,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,1.31,100.0642,-0.33135,0.79,-0.99
2016/1/5,114.2649,1078.07,2016.71,4891.43,35.97,4471.7875,0.34,2.25,1.21,19.34,,169.615,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,1.31,100.0642,-0.33135,0.79,-1.01
2016/1/6,114.6177,1093.01,1990.26,4835.76,33.97,4471.7875,0.34,2.18,1.19,20.59,4486606,126.584,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,1.26,100.0642,-0.33135,0.79,-0.93
2016/1/7,114.6516,1108.93,1943.09,4689.43,33.29,4471.7875,0.34,2.16,1.2,24.99,4486606,116.843,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,1.25,100.0642,-0.33135,0.79,-0.9
2016/1/8,115.0095,1103.85,1922.03,4643.63,33.2,4471.7875,0.34,2.13,1.19,27.01,4486606,99.971,55163.28851,19264939,143210,269250,4.8,6012,20.75267242,16.56547229,1.23,100.0642,-0.31315,0.79,-0.86
2016/1/9,115.0095,1103.85,1922.03,4643.63,33.2,4471.7875,0.34,2.13,1.19,27.01,4486606,99.971,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.23,100.0642,-0.31315,0.64,-0.86
2016/1/10,115.0095,1103.85,1922.03,4643.63,33.2,4471.7875,0.34,2.13,1.19,27.01,4486606,99.971,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.23,100.0642,-0.31315,0.64,-0.86
2016/1/11,115.0139,1095.4,1923.67,4637.99,31.42,4471.7875,0.34,2.17,1.23,24.3,4486606,97.39,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.19,100.0642,-0.31315,0.64,-0.89
2016/1/12,115.3128,1089.48,1938.68,4685.92,30.42,4471.7875,0.34,2.12,1.19,22.47,4486606,86.191,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.19,100.0642,-0.31315,0.64,-0.83
2016/1/13,115.1425,1093.65,1890.28,4526.06,30.42,4471.7875,0.34,2.08,1.17,25.22,4501695,84.416,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.18,100.0642,-0.31315,0.64,-0.79
2016/1/14,115.3846,1077.18,1921.84,4615,31.22,4471.7875,0.34,2.1,1.2,23.95,4501695,78.422,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.2,100.0642,-0.31315,0.64,-0.77
2016/1/15,115.7404,1088.72,1880.33,4488.42,29.45,4471.7875,0.34,2.03,1.18,27.02,4501695,90.534,55163.28851,19264939,143210,273250,4.8,6012,20.0144877,16.16590124,1.12,100.0642,-0.29685,0.64,-0.67
2016/1/16,115.7404,1088.72,1880.33,4488.42,29.45,4471.7875,0.34,2.03,1.18,27.02,4501695,90.534,55163.28851,19264939,143210,280750,4.8,6012,16.66405866,13.48578618,1.12,100.0642,-0.29685,0.84,-0.67
2016/1/17,115.7404,1088.72,1880.33,4488.42,29.45,4471.7875,0.34,2.03,1.18,27.02,4501695,90.534,55163.28851,19264939,143210,280750,4.8,6012,16.66405866,13.48578618,1.12,100.0642,-0.29685,0.84,-0.67
2016/1/18,115.7404,1088.88,1880.33,4488.42,29.45,4471.7875,0.34,2.03,1.18,27.02,4501695,90.534,55163.28851,19264939,143210,280750,4.8,6012,16.66405866,13.48578618,1.12,100.0642,-0.29685,0.84,-0.67
2016/1/19,115.8155,1087.18,1881.33,4476.95,28.47,4471.7875,0.34,2.06,1.18,26.05,4501695,90.221,55163.28851,19264939,143210,280750,4.8,6012,0,0,1.16,100.0642,-0.29685,0.84,-0.68
2016/1/20,116.3498,1100.83,1859.33,4471.69,26.68,4471.7875,0.34,2.01,1.16,27.59,4488840,106.627,55163.28851,19264939,143210,280750,4.8,6012,0,0,1.1,100.0642,-0.29685,0.84,-0.58
2016/1/21,115.9833,1101.16,1868.99,4472.06,29.55,4471.7875,0.34,2.02,1.18,26.69,4488840,90.44,55163.28851,19264939,143210,280750,4.8,6012,0,0,1.08,100.0642,-0.29685,0.84,-0.58
2016/1/22,115.9833,1097.78,1906.9,4591.18,32.07,4471.7875,0.34,2.07,1.19,22.34,4488840,60.316,55163.28851,19264939,143210,280750,4.8,6012,0,0,1.15,100.0642,-0.28435,0.84,-0.64
2016/1/23,115.9833,1097.78,1906.9,4591.18,32.07,4471.7875,0.34,2.07,1.19,22.34,4488840,60.316,55163.28851,19264939,143210,279000,4.8,6012,14.80429108,12.1269731,1.15,100.0642,-0.28435,1.01,-0.64
2016/1/24,115.9833,1097.78,1906.9,4591.18,32.07,4471.7875,0.34,2.07,1.19,22.34,4488840,60.316,55163.28851,19264939,143210,279000,4.8,6012,14.80429108,12.1269731,1.15,100.0642,-0.28435,1.01,-0.64
2016/1/25,115.9833,1107.67,1877.08,4518.49,30.31,4471.7875,0.34,2.03,1.15,24.15,4488840,80.17,55163.28851,19264939,143210,279000,4.8,6012,0,0,1.15,100.0642,-0.28435,1.01,-0.59
