model,split_strategy,split_info,Accuracy,F1,Precision,Recall,AUC,duration_seconds,timestamp,Accuracy_std,F1_std,Precision_std,Recall_std,AUC_std
ridge,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.5571658615136876,0.38202247191011235,0.6159420289855072,0.2768729641693811,0.554041577626092,0.06582117080688477,2026-04-05 00:08:17,,,,,
ridge,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.5015873015873017,0.4359073052336023,0.4877191312236031,0.49722389024676605,0.5186491404383561,2.0585670471191406,2026-04-05 00:08:17,0.0916062353770546,0.23306996333444185,0.24305506937912288,0.3432244612180935,0.06458365296091419
ridge,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.48619019370321814,0.5701099728544983,0.4848910347271439,0.7433509700176366,0.4905085731639889,0.07806539535522461,2026-04-05 00:08:19,0.018874912144971268,0.10165452291778561,0.03927077115828816,0.25564077436648447,0.016511876201820836
random_forest,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.5442834138486312,0.5666156202143952,0.5346820809248555,0.6026058631921825,0.5508361169318866,0.5995724201202393,2026-04-05 00:08:19,,,,,
random_forest,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.5220458553791886,0.49997070860252457,0.5640282084425531,0.5892804732183816,0.5643653758807042,37.93202805519104,2026-04-05 00:08:20,0.10599045665167907,0.21944807562031518,0.24587234372650854,0.338499738430469,0.12093659733802355
random_forest,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.5198664235645087,0.6158132498858304,0.508086629113289,0.8087566137566137,0.5533868849907292,0.8476574420928955,2026-04-05 00:08:58,0.03478789733701073,0.0764039170765147,0.034616176406400405,0.19826598279284482,0.05867884661885232
xgboost,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.5217391304347826,0.49230769230769234,0.5179856115107914,0.46905537459283386,0.5248967820909147,0.6706938743591309,2026-04-05 00:08:59,,,,,
xgboost,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.5075837742504408,0.49943785911672633,0.5303504939555851,0.577093261374307,0.5481886901642582,54.19908285140991,2026-04-05 00:09:00,0.10626830421385872,0.2037852912513402,0.20861809046101676,0.30277645052878355,0.12867183005827276
xgboost,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.5265426399316573,0.6055602612717268,0.5189903972898872,0.759418634662537,0.5265692510638497,2.22200345993042,2026-04-05 00:09:55,0.015685145956282502,0.057624053018638086,0.02298441420289347,0.1747620682742381,0.06496424491840648
lightgbm,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.571658615136876,0.5737179487179487,0.5646687697160884,0.5830618892508144,0.579420734870018,0.28061437606811523,2026-04-05 00:09:57,,,,,
lightgbm,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.509347442680776,0.49886490332997013,0.5425332084241613,0.5685861717561065,0.5546119655666808,9.638259410858154,2026-04-05 00:09:57,0.10043561357478607,0.19793499894504626,0.2119221647812809,0.28995705951450035,0.13031251570023694
lightgbm,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.47775074451333377,0.5770087828125711,0.4769575266003837,0.7549266572030799,0.5095206916006025,0.2605171203613281,2026-04-05 00:10:07,0.026741973144600376,0.09004903893468787,0.03801748405113654,0.20231488754978702,0.018608380620666415
lstm,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.48929159802306427,0.6555555555555556,0.49166666666666664,0.9833333333333333,0.5610912052117263,34.97337102890015,2026-04-05 00:10:08,,,,,
lstm,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.5185185185185185,0.6617799073354629,0.5185185185185185,0.9925925925925926,,396.448917388916,2026-04-05 00:10:43,0.18625541086723219,0.17508151011886225,0.18625541086723219,0.08574694002066834,
lstm,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.48802415218113776,0.655524751193068,0.48802415218113776,1.0,0.49431076727501094,21.81956720352173,2026-04-05 00:17:20,0.026168984870904487,0.023374227055404925,0.026168984870904487,0.0,0.07925983201308881
gru,fixed,"{'split_type': 'fixed', 'train_ratio': 0.8, 'train_size': 2481, 'test_size': 621, 'train_start': '2016-01-01 00:00:00', 'train_end': '2022-10-16 00:00:00', 'test_start': '2022-10-17 00:00:00', 'test_end': '2024-06-28 00:00:00'}",0.4942339373970346,0.6569832402234637,0.49411764705882355,0.98,0.540027144408252,35.52798795700073,2026-04-05 00:17:42,,,,,
gru,rolling,"{'split_type': 'rolling', 'fold': 0, 'window_size': 252, 'step_size': 21, 'train_size': 252, 'test_size': 21, 'train_start': '2016-01-01 00:00:00', 'train_end': '2016-09-08 00:00:00', 'test_start': '2016-09-09 00:00:00', 'test_end': '2016-09-29 00:00:00'}",0.5195767195767196,0.6618921407810296,0.5196119929453262,0.9907407407407407,,515.6480405330658,2026-04-05 00:18:17,0.1877643522477808,0.17566154903165393,0.18753286040147985,0.08823058703386365,
gru,regime,"{'split_type': 'market_regime', 'validation_mode': 'same_regime', 'fold': 0, 'regime': 1, 'regime_name': 'bull', 'train_size': 596, 'test_size': 150, 'train_start': '2016-01-01 00:00:00', 'train_end': '2017-08-18 00:00:00', 'test_start': '2017-08-19 00:00:00', 'test_end': '2018-01-15 00:00:00'}",0.48802415218113776,0.655524751193068,0.48802415218113776,1.0,0.5205592680804226,20.282721757888794,2026-04-05 00:26:53,0.026168984870904487,0.023374227055404925,0.026168984870904487,0.0,0.07410295828786684
